N,Song1,Song2,Algo,Embedding,Perc
0,messiah,fence,BIRCH,300,2.9
1,messiah,fence,BIRCH,100,2.9
2,messiah,fence,BIRCH,200,1.45
3,messiah,fence,BIRCH,50,0.0
4,messiah,fence,BIRCH,150,8.7
