N,Song1,Song2,Algo,Embedding,Perc
0,twilightwaltz,calledlove,BIRCH,300,15.94
1,twilightwaltz,calledlove,BIRCH,100,2.9
2,twilightwaltz,calledlove,BIRCH,200,1.45
3,twilightwaltz,calledlove,BIRCH,50,4.35
4,twilightwaltz,calledlove,BIRCH,150,8.7
