N,Song1,Song2,Algo,Embedding,Perc
0,muehlebachbeersmith,timeformuehlebach,Agglomerative,300,1.45
1,muehlebachbeersmith,timeformuehlebach,Agglomerative,100,11.59
2,muehlebachbeersmith,timeformuehlebach,Agglomerative,200,0.0
3,muehlebachbeersmith,timeformuehlebach,Agglomerative,50,0.0
4,muehlebachbeersmith,timeformuehlebach,Agglomerative,150,1.45
