N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt3,0,0
2,confessing,starlight,0,0
3,lady_love,word_warning,0,0
4,does_anybody,bali,2,2
5,chatterbox_carew,chatterbox_jerome,2,2
6,whisper_to_me,itallcomes,0,0
7,kalamazoo_arnstein,kalamazoo_warren,0,0
8,prelude,dakota,1,1
9,messiah,fence,2,2
10,shepherd,beginthebeguine,0,0
11,sadness,youdbesonice,0,0
12,twilightwaltz,calledlove,2,2
13,motheranddad,nearyou,2,2
14,mizpahshalom,shalom,0,0
15,mojoworkout,gotmymojoworking,0,0
16,sognonostalgico,girlinthedark,2,2
17,jeanniemichele,themeatimetolove,0,0
18,daybyday,themetodayshow,1,1
19,keeponsinging,keeponsingingtwo,0,0
20,dirlada,loopdilove,1,1
21,uncantoagalicia,bisschenfrieden,0,0
22,greengrassgrows,superstring,0,0
23,whereareyounow,whereareyou,0,0
24,gehtsparkasse,begood,0,0
25,heartbeat,getoveryou,0,0
26,gumtree,downunder,0,0
27,blessees,janine,0,0
