N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,0,0
1,light_myLife,lady_divine_pt3,0,0
2,confessing,starlight,0,0
3,lady_love,word_warning,0,0
4,does_anybody,bali,0,0
5,chatterbox_carew,chatterbox_jerome,0,0
6,whisper_to_me,itallcomes,0,0
7,prelude,dakota,0,0
8,shepherd,beginthebeguine,0,0
9,motheranddad,nearyou,0,0
10,thehappywhistler,sanfranciscobrewingad,0,0
11,mygodandi,mygodanditwo,0,0
12,rendezvous,idreamed,0,0
13,mizpahshalom,shalom,0,0
14,sognonostalgico,girlinthedark,0,0
15,hessofine,mysweetlord,0,0
16,jeanniemichele,themeatimetolove,0,0
17,keeponsinging,keeponsingingtwo,0,0
18,dirlada,loopdilove,0,0
19,letitend,howdeepisyourlove,0,0
20,uncantoagalicia,bisschenfrieden,0,0
21,lifeisarock,menusong,2,2
22,ithinkaboutyou,ithinkaboutyoutwo,0,0
23,greengrassgrows,superstring,12,12
24,heartbeat,getoveryou,9,9
25,gumtree,downunder,0,0
26,blessees,janine,10,10
27,reich,niveau,0,0
