N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,0
1,light_myLife,lady_divine_pt2,32
2,light_myLife,lady_divine_pt3,0
3,confessing,starlight,7
4,o_gladsome,o_light,0
5,lady_love,word_warning,3
6,whisper,wishing_song,0
7,does_anybody,bali,1
8,spider,desert_song,4
9,old_eli,someday_prince,4
10,alla_rancho,el_rancho_anonymous,5
11,chatterbox_carew,chatterbox_jerome,1
12,kansas,roses,11
13,whisper_to_me,itallcomes,3
14,kalamazoo_arnstein,kalamazoo_warren,1
15,prelude,dakota,43
16,vagyok,perhaps,2
17,messiah,fence,8
18,shepherd,beginthebeguine,13
19,amothersprayer,myownsweet,0
20,sadness,youdbesonice,16
21,twilightwaltz,calledlove,1
22,motheranddad,nearyou,7
23,tonighthesailedagain,iloveyouyesido,2
24,thehappywhistler,sanfranciscobrewingad,2
25,muehlebachbeersmith,timeformuehlebach,0
26,mygodandi,mygodanditwo,13
27,goodnight,whilewedream,5
28,rendezvous,idreamed,5
29,mizpahshalom,shalom,11
30,evangelimann,mitternachtstango,2
31,mojoworkout,gotmymojoworking,9
32,sognonostalgico,girlinthedark,13
33,hessofine,mysweetlord,53
34,jeanniemichele,themeatimetolove,2
35,daybyday,themetodayshow,1
36,keeponsinging,keeponsingingtwo,53
37,dirlada,loopdilove,44
38,letitend,howdeepisyourlove,14
39,pourtoi,feelings,4
40,uncantoagalicia,bisschenfrieden,28
41,lifeisarock,menusong,5
42,es,hey,3
43,tillyou,phantomoftheopera,2
44,ithinkaboutyou,ithinkaboutyoutwo,55
45,greengrassgrows,superstring,23
46,whereareyounow,whereareyou,5
47,gehtsparkasse,begood,11
48,heartbeat,getoveryou,68
49,gumtree,downunder,0
50,blessees,janine,68
51,reich,niveau,10
