N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,4,4
1,light_myLife,lady_divine_pt2,4,4
2,alla_rancho,el_rancho_anonymous,0,0
3,messiah,fence,0,0
4,sadness,youdbesonice,2,2
5,twilightwaltz,calledlove,1,1
6,evangelimann,mitternachtstango,0,0
7,dirlada,loopdilove,1,1
8,letitend,howdeepisyourlove,1,1
9,lifeisarock,menusong,3,3
10,es,hey,4,4
11,ithinkaboutyou,ithinkaboutyoutwo,4,4
12,greengrassgrows,superstring,2,2
13,gehtsparkasse,begood,2,2
14,heartbeat,getoveryou,2,2
15,blessees,janine,2,2
16,reich,niveau,5,5
