N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt2,0,0
2,confessing,starlight,0,0
3,o_gladsome,o_light,0,0
4,lady_love,word_warning,0,0
5,alla_rancho,el_rancho_anonymous,0,0
6,kansas,roses,0,0
7,whisper_to_me,itallcomes,0,0
8,kalamazoo_arnstein,kalamazoo_warren,0,0
9,vagyok,perhaps,0,0
10,messiah,fence,0,0
11,shepherd,beginthebeguine,0,0
12,sadness,youdbesonice,2,2
13,twilightwaltz,calledlove,1,1
14,motheranddad,nearyou,0,0
15,mizpahshalom,shalom,0,0
16,evangelimann,mitternachtstango,0,0
17,dirlada,loopdilove,1,1
18,letitend,howdeepisyourlove,1,1
19,lifeisarock,menusong,3,3
20,es,hey,0,0
21,ithinkaboutyou,ithinkaboutyoutwo,0,0
22,greengrassgrows,superstring,2,2
23,gehtsparkasse,begood,2,2
24,heartbeat,getoveryou,2,2
25,blessees,janine,2,2
26,reich,niveau,0,0
