N,Song1,Song2,Cluster_1,Cluster_2
0,prelude,dakota,0,0
1,messiah,fence,1,1
2,shepherd,beginthebeguine,1,1
3,sadness,youdbesonice,0,0
4,motheranddad,nearyou,1,1
5,goodnight,whilewedream,1,1
6,mojoworkout,gotmymojoworking,2,2
7,sognonostalgico,girlinthedark,1,1
8,daybyday,themetodayshow,0,0
9,keeponsinging,keeponsingingtwo,2,2
10,dirlada,loopdilove,0,0
11,uncantoagalicia,bisschenfrieden,2,2
12,es,hey,1,1
13,tillyou,phantomoftheopera,0,0
14,greengrassgrows,superstring,2,2
15,whereareyounow,whereareyou,0,0
16,gehtsparkasse,begood,2,2
17,heartbeat,getoveryou,2,2
18,gumtree,downunder,1,1
19,blessees,janine,0,0
