N,Song1,Song2,Cluster_1,Cluster_2
0,whisper,wishing_song,0,0
1,chatterbox_carew,chatterbox_jerome,0,0
2,kansas,roses,2,2
3,vagyok,perhaps,0,0
4,thehappywhistler,sanfranciscobrewingad,0,0
5,muehlebachbeersmith,timeformuehlebach,0,0
6,mygodandi,mygodanditwo,0,0
7,goodnight,whilewedream,0,0
8,rendezvous,idreamed,0,0
9,sognonostalgico,girlinthedark,0,0
10,hessofine,mysweetlord,0,0
11,dirlada,loopdilove,1,1
12,uncantoagalicia,bisschenfrieden,0,0
13,es,hey,0,0
14,whereareyounow,whereareyou,0,0
15,gehtsparkasse,begood,0,0
16,heartbeat,getoveryou,1,1
17,gumtree,downunder,0,0
18,blessees,janine,0,0
19,reich,niveau,0,0
