N,Song1,Song2,Algo,Embedding,Perc
0,evangelimann,mitternachtstango,GaussianMM,300,2.9
1,evangelimann,mitternachtstango,GaussianMM,100,1.45
2,evangelimann,mitternachtstango,GaussianMM,200,0.0
3,evangelimann,mitternachtstango,GaussianMM,50,0.0
4,evangelimann,mitternachtstango,GaussianMM,150,1.45
