N,Song1,Song2,Cluster_1,Cluster_2
0,kansas,roses,3,3
1,prelude,dakota,2,2
2,shepherd,beginthebeguine,2,2
3,tonighthesailedagain,iloveyouyesido,0,0
4,mojoworkout,gotmymojoworking,3,3
5,hessofine,mysweetlord,2,2
6,keeponsinging,keeponsingingtwo,2,2
7,dirlada,loopdilove,4,4
8,letitend,howdeepisyourlove,2,2
9,uncantoagalicia,bisschenfrieden,2,2
10,lifeisarock,menusong,1,1
11,ithinkaboutyou,ithinkaboutyoutwo,2,2
12,greengrassgrows,superstring,1,1
13,heartbeat,getoveryou,1,1
14,blessees,janine,1,1
