N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,1,1
1,confessing,starlight,1,1
2,spider,desert_song,1,1
3,old_eli,someday_prince,1,1
4,alla_rancho,el_rancho_anonymous,1,1
5,chatterbox_carew,chatterbox_jerome,1,1
6,kansas,roses,1,1
7,prelude,dakota,0,0
8,messiah,fence,1,1
9,sadness,youdbesonice,1,1
10,motheranddad,nearyou,1,1
11,tonighthesailedagain,iloveyouyesido,2,2
12,mygodandi,mygodanditwo,1,1
13,mizpahshalom,shalom,1,1
14,evangelimann,mitternachtstango,0,0
15,mojoworkout,gotmymojoworking,1,1
16,sognonostalgico,girlinthedark,1,1
17,dirlada,loopdilove,0,0
18,letitend,howdeepisyourlove,1,1
19,pourtoi,feelings,0,0
20,lifeisarock,menusong,0,0
21,tillyou,phantomoftheopera,1,1
22,ithinkaboutyou,ithinkaboutyoutwo,0,0
23,whereareyounow,whereareyou,0,0
24,gehtsparkasse,begood,1,1
25,heartbeat,getoveryou,1,1
26,blessees,janine,0,0
