N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,3,3
1,alla_rancho,el_rancho_anonymous,3,3
2,chatterbox_carew,chatterbox_jerome,3,3
3,kansas,roses,3,3
4,prelude,dakota,3,3
5,amothersprayer,myownsweet,4,4
6,motheranddad,nearyou,4,4
7,goodnight,whilewedream,6,6
8,rendezvous,idreamed,4,4
9,mizpahshalom,shalom,3,3
10,hessofine,mysweetlord,6,6
11,dirlada,loopdilove,0,0
12,pourtoi,feelings,6,6
13,uncantoagalicia,bisschenfrieden,0,0
14,ithinkaboutyou,ithinkaboutyoutwo,0,0
15,greengrassgrows,superstring,5,5
16,whereareyounow,whereareyou,0,0
17,gehtsparkasse,begood,7,7
18,heartbeat,getoveryou,5,5
19,blessees,janine,7,7
20,reich,niveau,6,6
