N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,3,3
1,chatterbox_carew,chatterbox_jerome,3,3
2,whisper_to_me,itallcomes,8,8
3,prelude,dakota,6,6
4,amothersprayer,myownsweet,4,4
5,motheranddad,nearyou,4,4
6,goodnight,whilewedream,6,6
7,rendezvous,idreamed,4,4
8,mizpahshalom,shalom,6,6
9,evangelimann,mitternachtstango,8,8
10,hessofine,mysweetlord,6,6
11,keeponsinging,keeponsingingtwo,8,8
12,dirlada,loopdilove,0,0
13,tillyou,phantomoftheopera,8,8
14,greengrassgrows,superstring,5,5
15,gehtsparkasse,begood,7,7
16,heartbeat,getoveryou,5,5
17,blessees,janine,7,7
18,reich,niveau,8,8
