N,Song1,Song2,Cluster_1,Cluster_2
0,chatterbox_carew,chatterbox_jerome,15,15
1,kansas,roses,16,16
2,whisper_to_me,itallcomes,11,11
3,prelude,dakota,16,16
4,amothersprayer,myownsweet,4,4
5,motheranddad,nearyou,4,4
6,goodnight,whilewedream,6,6
7,rendezvous,idreamed,4,4
8,mizpahshalom,shalom,16,16
9,dirlada,loopdilove,9,9
10,greengrassgrows,superstring,5,5
11,gehtsparkasse,begood,7,7
12,heartbeat,getoveryou,5,5
13,gumtree,downunder,16,16
14,blessees,janine,7,7
15,reich,niveau,11,11
