N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,3,3
1,does_anybody,bali,0,0
2,alla_rancho,el_rancho_anonymous,0,0
3,chatterbox_carew,chatterbox_jerome,0,0
4,kansas,roses,0,0
5,whisper_to_me,itallcomes,1,1
6,prelude,dakota,0,0
7,amothersprayer,myownsweet,6,6
8,twilightwaltz,calledlove,0,0
9,motheranddad,nearyou,6,6
10,goodnight,whilewedream,0,0
11,rendezvous,idreamed,6,6
12,mizpahshalom,shalom,0,0
13,evangelimann,mitternachtstango,1,1
14,hessofine,mysweetlord,0,0
15,keeponsinging,keeponsingingtwo,1,1
16,dirlada,loopdilove,3,3
17,greengrassgrows,superstring,4,4
18,gehtsparkasse,begood,4,4
19,heartbeat,getoveryou,4,4
20,blessees,janine,4,4
21,reich,niveau,1,1
