N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,6,6
1,does_anybody,bali,7,7
2,alla_rancho,el_rancho_anonymous,7,7
3,chatterbox_carew,chatterbox_jerome,7,7
4,kansas,roses,7,7
5,prelude,dakota,7,7
6,amothersprayer,myownsweet,2,2
7,motheranddad,nearyou,2,2
8,goodnight,whilewedream,3,3
9,rendezvous,idreamed,2,2
10,mizpahshalom,shalom,7,7
11,hessofine,mysweetlord,3,3
12,keeponsinging,keeponsingingtwo,8,8
13,dirlada,loopdilove,6,6
14,greengrassgrows,superstring,4,4
15,gehtsparkasse,begood,4,4
16,heartbeat,getoveryou,4,4
17,blessees,janine,4,4
18,reich,niveau,8,8
