N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,6,6
1,does_anybody,bali,0,0
2,alla_rancho,el_rancho_anonymous,0,0
3,chatterbox_carew,chatterbox_jerome,0,0
4,kansas,roses,0,0
5,prelude,dakota,0,0
6,amothersprayer,myownsweet,5,5
7,motheranddad,nearyou,5,5
8,goodnight,whilewedream,4,4
9,rendezvous,idreamed,5,5
10,mizpahshalom,shalom,0,0
11,keeponsinging,keeponsingingtwo,8,8
12,dirlada,loopdilove,6,6
13,greengrassgrows,superstring,3,3
14,gehtsparkasse,begood,12,12
15,heartbeat,getoveryou,3,3
16,blessees,janine,12,12
17,reich,niveau,8,8
