N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt3,0,0
2,confessing,starlight,0,0
3,o_gladsome,o_light,0,0
4,lady_love,word_warning,0,0
5,kansas,roses,0,0
6,whisper_to_me,itallcomes,0,0
7,prelude,dakota,1,1
8,messiah,fence,1,1
9,shepherd,beginthebeguine,0,0
10,sadness,youdbesonice,0,0
11,twilightwaltz,calledlove,0,0
12,motheranddad,nearyou,0,0
13,goodnight,whilewedream,0,0
14,mizpahshalom,shalom,0,0
15,mojoworkout,gotmymojoworking,0,0
16,sognonostalgico,girlinthedark,0,0
17,daybyday,themetodayshow,1,1
18,keeponsinging,keeponsingingtwo,0,0
19,dirlada,loopdilove,1,1
20,pourtoi,feelings,1,1
21,uncantoagalicia,bisschenfrieden,0,0
22,greengrassgrows,superstring,0,0
23,gehtsparkasse,begood,0,0
24,heartbeat,getoveryou,0,0
25,gumtree,downunder,0,0
26,blessees,janine,0,0
27,reich,niveau,0,0
