N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt2,0,0
2,light_myLife,lady_divine_pt3,0,0
3,confessing,starlight,0,0
4,lady_love,word_warning,1,1
5,chatterbox_carew,chatterbox_jerome,1,1
6,whisper_to_me,itallcomes,1,1
7,kalamazoo_arnstein,kalamazoo_warren,1,1
8,prelude,dakota,0,0
9,shepherd,beginthebeguine,1,1
10,thehappywhistler,sanfranciscobrewingad,1,1
11,goodnight,whilewedream,1,1
12,rendezvous,idreamed,1,1
13,hessofine,mysweetlord,0,0
14,keeponsinging,keeponsingingtwo,1,1
15,letitend,howdeepisyourlove,1,1
16,uncantoagalicia,bisschenfrieden,1,1
17,tillyou,phantomoftheopera,0,0
18,ithinkaboutyou,ithinkaboutyoutwo,0,0
19,greengrassgrows,superstring,0,0
20,whereareyounow,whereareyou,0,0
21,heartbeat,getoveryou,1,1
22,blessees,janine,1,1
