N,Song1,Song2,Algo,Embedding,Perc
0,light_myLife,lady_divine_pt2,Agglomerative,300,0.0
1,light_myLife,lady_divine_pt2,Agglomerative,100,0.0
2,light_myLife,lady_divine_pt2,Agglomerative,200,39.13
3,light_myLife,lady_divine_pt2,Agglomerative,50,8.7
4,light_myLife,lady_divine_pt2,Agglomerative,150,42.03
