N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt2,0,0
2,light_myLife,lady_divine_pt3,0,0
3,confessing,starlight,0,0
4,kansas,roses,2,2
5,whisper_to_me,itallcomes,2,2
6,shepherd,beginthebeguine,2,2
7,rendezvous,idreamed,2,2
8,mojoworkout,gotmymojoworking,2,2
9,hessofine,mysweetlord,0,0
10,keeponsinging,keeponsingingtwo,3,3
11,letitend,howdeepisyourlove,2,2
12,es,hey,0,0
13,tillyou,phantomoftheopera,0,0
14,ithinkaboutyou,ithinkaboutyoutwo,0,0
15,greengrassgrows,superstring,0,0
16,whereareyounow,whereareyou,0,0
17,heartbeat,getoveryou,2,2
18,blessees,janine,2,2
