N,Song1,Song2,Algo,Embedding,Perc
0,kalamazoo_arnstein,kalamazoo_warren,Agglomerative,300,4.35
1,kalamazoo_arnstein,kalamazoo_warren,Agglomerative,100,2.9
2,kalamazoo_arnstein,kalamazoo_warren,Agglomerative,200,5.8
3,kalamazoo_arnstein,kalamazoo_warren,Agglomerative,50,0.0
4,kalamazoo_arnstein,kalamazoo_warren,Agglomerative,150,0.0
