N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,1,1
1,light_myLife,lady_divine_pt3,1,1
2,kansas,roses,2,2
3,whisper_to_me,itallcomes,2,2
4,vagyok,perhaps,1,1
5,shepherd,beginthebeguine,1,1
6,mygodandi,mygodanditwo,2,2
7,hessofine,mysweetlord,2,2
8,daybyday,themetodayshow,1,1
9,uncantoagalicia,bisschenfrieden,0,0
10,tillyou,phantomoftheopera,0,0
11,ithinkaboutyou,ithinkaboutyoutwo,1,1
12,greengrassgrows,superstring,1,1
13,gehtsparkasse,begood,0,0
14,heartbeat,getoveryou,1,1
15,blessees,janine,1,1
