N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt3,1,1
1,lady_love,word_warning,8,8
2,does_anybody,bali,5,5
3,prelude,dakota,4,4
4,vagyok,perhaps,1,1
5,amothersprayer,myownsweet,1,1
6,rendezvous,idreamed,1,1
7,evangelimann,mitternachtstango,3,3
8,jeanniemichele,themeatimetolove,1,1
9,daybyday,themetodayshow,1,1
10,letitend,howdeepisyourlove,0,0
11,ithinkaboutyou,ithinkaboutyoutwo,1,1
12,greengrassgrows,superstring,1,1
13,gehtsparkasse,begood,11,11
14,heartbeat,getoveryou,11,11
15,blessees,janine,11,11
16,reich,niveau,5,5
