N,Song1,Song2,Cluster_1,Cluster_2
0,alla_rancho,el_rancho_anonymous,3,3
1,chatterbox_carew,chatterbox_jerome,2,2
2,whisper_to_me,itallcomes,1,1
3,shepherd,beginthebeguine,3,3
4,sadness,youdbesonice,1,1
5,evangelimann,mitternachtstango,3,3
6,mojoworkout,gotmymojoworking,1,1
7,sognonostalgico,girlinthedark,1,1
8,daybyday,themetodayshow,3,3
9,keeponsinging,keeponsingingtwo,2,2
10,lifeisarock,menusong,1,1
11,es,hey,3,3
12,greengrassgrows,superstring,1,1
13,gehtsparkasse,begood,1,1
14,heartbeat,getoveryou,1,1
15,blessees,janine,1,1
