N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,1,1
1,light_myLife,lady_divine_pt2,1,1
2,confessing,starlight,1,1
3,lady_love,word_warning,1,1
4,spider,desert_song,0,0
5,alla_rancho,el_rancho_anonymous,1,1
6,kansas,roses,1,1
7,whisper_to_me,itallcomes,1,1
8,vagyok,perhaps,1,1
9,messiah,fence,1,1
10,shepherd,beginthebeguine,1,1
11,motheranddad,nearyou,1,1
12,tonighthesailedagain,iloveyouyesido,1,1
13,mizpahshalom,shalom,1,1
14,evangelimann,mitternachtstango,1,1
15,mojoworkout,gotmymojoworking,1,1
16,daybyday,themetodayshow,1,1
17,dirlada,loopdilove,0,0
18,letitend,howdeepisyourlove,0,0
19,uncantoagalicia,bisschenfrieden,1,1
20,lifeisarock,menusong,1,1
21,es,hey,1,1
22,ithinkaboutyou,ithinkaboutyoutwo,1,1
23,greengrassgrows,superstring,1,1
24,whereareyounow,whereareyou,1,1
25,heartbeat,getoveryou,1,1
26,blessees,janine,1,1
