N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,3,3
1,chatterbox_carew,chatterbox_jerome,3,3
2,prelude,dakota,2,2
3,messiah,fence,3,3
4,twilightwaltz,calledlove,3,3
5,motheranddad,nearyou,3,3
6,thehappywhistler,sanfranciscobrewingad,1,1
7,rendezvous,idreamed,1,1
8,mizpahshalom,shalom,0,0
9,mojoworkout,gotmymojoworking,0,0
10,sognonostalgico,girlinthedark,3,3
11,jeanniemichele,themeatimetolove,1,1
12,daybyday,themetodayshow,2,2
13,keeponsinging,keeponsingingtwo,0,0
14,dirlada,loopdilove,2,2
15,greengrassgrows,superstring,0,0
16,whereareyounow,whereareyou,1,1
17,gehtsparkasse,begood,0,0
18,heartbeat,getoveryou,0,0
19,blessees,janine,0,0
