N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,3,3
1,chatterbox_carew,chatterbox_jerome,3,3
2,prelude,dakota,0,0
3,messiah,fence,3,3
4,twilightwaltz,calledlove,3,3
5,motheranddad,nearyou,3,3
6,thehappywhistler,sanfranciscobrewingad,1,1
7,rendezvous,idreamed,1,1
8,mizpahshalom,shalom,4,4
9,mojoworkout,gotmymojoworking,2,2
10,sognonostalgico,girlinthedark,3,3
11,jeanniemichele,themeatimetolove,1,1
12,daybyday,themetodayshow,0,0
13,dirlada,loopdilove,0,0
14,greengrassgrows,superstring,4,4
15,whereareyounow,whereareyou,1,1
16,gehtsparkasse,begood,2,2
17,heartbeat,getoveryou,2,2
18,blessees,janine,4,4
