N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,0
1,light_myLife,lady_divine_pt2,2
2,light_myLife,lady_divine_pt3,2
3,confessing,starlight,1
4,o_gladsome,o_light,9
5,lady_love,word_warning,0
6,whisper,wishing_song,0
7,does_anybody,bali,25
8,spider,desert_song,0
9,old_eli,someday_prince,2
10,alla_rancho,el_rancho_anonymous,12
11,chatterbox_carew,chatterbox_jerome,17
12,kansas,roses,18
13,whisper_to_me,itallcomes,12
14,kalamazoo_arnstein,kalamazoo_warren,2
15,prelude,dakota,12
16,vagyok,perhaps,2
17,messiah,fence,0
18,shepherd,beginthebeguine,0
19,amothersprayer,myownsweet,58
20,sadness,youdbesonice,1
21,twilightwaltz,calledlove,6
22,motheranddad,nearyou,54
23,tonighthesailedagain,iloveyouyesido,0
24,thehappywhistler,sanfranciscobrewingad,2
25,muehlebachbeersmith,timeformuehlebach,1
26,mygodandi,mygodanditwo,1
27,goodnight,whilewedream,52
28,rendezvous,idreamed,44
29,mizpahshalom,shalom,9
30,evangelimann,mitternachtstango,7
31,mojoworkout,gotmymojoworking,3
32,sognonostalgico,girlinthedark,3
33,hessofine,mysweetlord,9
34,jeanniemichele,themeatimetolove,3
35,daybyday,themetodayshow,5
36,keeponsinging,keeponsingingtwo,37
37,dirlada,loopdilove,55
38,letitend,howdeepisyourlove,0
39,pourtoi,feelings,7
40,uncantoagalicia,bisschenfrieden,7
41,lifeisarock,menusong,19
42,es,hey,1
43,tillyou,phantomoftheopera,8
44,ithinkaboutyou,ithinkaboutyoutwo,12
45,greengrassgrows,superstring,49
46,whereareyounow,whereareyou,6
47,gehtsparkasse,begood,38
48,heartbeat,getoveryou,67
49,gumtree,downunder,16
50,blessees,janine,67
51,reich,niveau,45
