N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,1,1
1,light_myLife,lady_divine_pt3,1,1
2,confessing,starlight,1,1
3,spider,desert_song,1,1
4,old_eli,someday_prince,1,1
5,alla_rancho,el_rancho_anonymous,1,1
6,whisper_to_me,itallcomes,1,1
7,kalamazoo_arnstein,kalamazoo_warren,1,1
8,prelude,dakota,1,1
9,vagyok,perhaps,1,1
10,shepherd,beginthebeguine,1,1
11,sadness,youdbesonice,1,1
12,motheranddad,nearyou,1,1
13,tonighthesailedagain,iloveyouyesido,1,1
14,thehappywhistler,sanfranciscobrewingad,1,1
15,goodnight,whilewedream,1,1
16,mizpahshalom,shalom,1,1
17,hessofine,mysweetlord,1,1
18,jeanniemichele,themeatimetolove,1,1
19,dirlada,loopdilove,1,1
20,uncantoagalicia,bisschenfrieden,1,1
21,gehtsparkasse,begood,0,0
22,heartbeat,getoveryou,3,3
23,reich,niveau,1,1
