N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,0,0
1,light_myLife,lady_divine_pt3,0,0
2,o_gladsome,o_light,0,0
3,old_eli,someday_prince,0,0
4,alla_rancho,el_rancho_anonymous,5,5
5,whisper_to_me,itallcomes,0,0
6,kalamazoo_arnstein,kalamazoo_warren,0,0
7,prelude,dakota,0,0
8,shepherd,beginthebeguine,0,0
9,sadness,youdbesonice,0,0
10,tonighthesailedagain,iloveyouyesido,0,0
11,muehlebachbeersmith,timeformuehlebach,0,0
12,mygodandi,mygodanditwo,0,0
13,mizpahshalom,shalom,0,0
14,hessofine,mysweetlord,0,0
15,jeanniemichele,themeatimetolove,0,0
16,dirlada,loopdilove,0,0
17,pourtoi,feelings,0,0
18,uncantoagalicia,bisschenfrieden,0,0
19,tillyou,phantomoftheopera,0,0
20,ithinkaboutyou,ithinkaboutyoutwo,0,0
21,whereareyounow,whereareyou,0,0
22,gehtsparkasse,begood,0,0
23,heartbeat,getoveryou,3,3
24,reich,niveau,0,0
