N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt2,0,0
2,light_myLife,lady_divine_pt3,0,0
3,confessing,starlight,0,0
4,o_gladsome,o_light,0,0
5,spider,desert_song,0,0
6,old_eli,someday_prince,0,0
7,alla_rancho,el_rancho_anonymous,0,0
8,whisper_to_me,itallcomes,0,0
9,kalamazoo_arnstein,kalamazoo_warren,0,0
10,prelude,dakota,0,0
11,vagyok,perhaps,0,0
12,shepherd,beginthebeguine,0,0
13,sadness,youdbesonice,0,0
14,twilightwaltz,calledlove,0,0
15,motheranddad,nearyou,0,0
16,tonighthesailedagain,iloveyouyesido,0,0
17,thehappywhistler,sanfranciscobrewingad,0,0
18,muehlebachbeersmith,timeformuehlebach,0,0
19,mygodandi,mygodanditwo,0,0
20,mizpahshalom,shalom,0,0
21,evangelimann,mitternachtstango,0,0
22,hessofine,mysweetlord,0,0
23,jeanniemichele,themeatimetolove,0,0
24,dirlada,loopdilove,0,0
25,pourtoi,feelings,0,0
26,uncantoagalicia,bisschenfrieden,0,0
27,es,hey,0,0
28,tillyou,phantomoftheopera,0,0
29,ithinkaboutyou,ithinkaboutyoutwo,0,0
30,whereareyounow,whereareyou,0,0
31,gehtsparkasse,begood,0,0
32,heartbeat,getoveryou,4,4
33,reich,niveau,0,0
