N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,4,4
1,alla_rancho,el_rancho_anonymous,4,4
2,chatterbox_carew,chatterbox_jerome,4,4
3,kansas,roses,4,4
4,whisper_to_me,itallcomes,3,3
5,prelude,dakota,4,4
6,amothersprayer,myownsweet,5,5
7,motheranddad,nearyou,5,5
8,goodnight,whilewedream,1,1
9,rendezvous,idreamed,5,5
10,mizpahshalom,shalom,4,4
11,hessofine,mysweetlord,1,1
12,keeponsinging,keeponsingingtwo,3,3
13,dirlada,loopdilove,7,7
14,ithinkaboutyou,ithinkaboutyoutwo,3,3
15,greengrassgrows,superstring,0,0
16,gehtsparkasse,begood,0,0
17,heartbeat,getoveryou,0,0
18,blessees,janine,0,0
19,reich,niveau,3,3
