N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,0,0
1,lady_love,word_warning,2,2
2,does_anybody,bali,0,0
3,chatterbox_carew,chatterbox_jerome,0,0
4,kansas,roses,0,0
5,kalamazoo_arnstein,kalamazoo_warren,2,2
6,prelude,dakota,2,2
7,twilightwaltz,calledlove,0,0
8,thehappywhistler,sanfranciscobrewingad,2,2
9,mygodandi,mygodanditwo,2,2
10,goodnight,whilewedream,3,3
11,rendezvous,idreamed,2,2
12,mojoworkout,gotmymojoworking,1,1
13,sognonostalgico,girlinthedark,0,0
14,hessofine,mysweetlord,2,2
15,jeanniemichele,themeatimetolove,0,0
16,daybyday,themetodayshow,2,2
17,dirlada,loopdilove,0,0
18,letitend,howdeepisyourlove,2,2
19,es,hey,0,0
20,ithinkaboutyou,ithinkaboutyoutwo,0,0
21,gehtsparkasse,begood,3,3
22,heartbeat,getoveryou,3,3
23,gumtree,downunder,0,0
24,blessees,janine,3,3
25,reich,niveau,0,0
