N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,5,5
1,old_eli,someday_prince,7,7
2,chatterbox_carew,chatterbox_jerome,5,5
3,whisper_to_me,itallcomes,2,2
4,prelude,dakota,8,8
5,evangelimann,mitternachtstango,2,2
6,mojoworkout,gotmymojoworking,9,9
7,sognonostalgico,girlinthedark,5,5
8,jeanniemichele,themeatimetolove,0,0
9,daybyday,themetodayshow,8,8
10,dirlada,loopdilove,5,5
11,ithinkaboutyou,ithinkaboutyoutwo,0,0
12,gehtsparkasse,begood,10,10
13,heartbeat,getoveryou,10,10
14,blessees,janine,10,10
15,reich,niveau,5,5
