N,Song1,Song2,Cluster_1,Cluster_2
0,alla_rancho,el_rancho_anonymous,10,10
1,kansas,roses,10,10
2,prelude,dakota,10,10
3,amothersprayer,myownsweet,3,3
4,motheranddad,nearyou,3,3
5,goodnight,whilewedream,11,11
6,rendezvous,idreamed,3,3
7,mizpahshalom,shalom,10,10
8,hessofine,mysweetlord,11,11
9,keeponsinging,keeponsingingtwo,2,2
10,dirlada,loopdilove,7,7
11,greengrassgrows,superstring,14,14
12,gehtsparkasse,begood,0,0
13,heartbeat,getoveryou,6,6
14,gumtree,downunder,1,1
15,blessees,janine,0,0
16,reich,niveau,4,4
