N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,1,1
1,alla_rancho,el_rancho_anonymous,6,6
2,chatterbox_carew,chatterbox_jerome,2,2
3,kansas,roses,6,6
4,prelude,dakota,6,6
5,amothersprayer,myownsweet,3,3
6,motheranddad,nearyou,3,3
7,goodnight,whilewedream,5,5
8,rendezvous,idreamed,3,3
9,evangelimann,mitternachtstango,4,4
10,daybyday,themetodayshow,0,0
11,dirlada,loopdilove,1,1
12,greengrassgrows,superstring,7,7
13,heartbeat,getoveryou,7,7
14,blessees,janine,7,7
15,reich,niveau,0,0
