N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,6,6
1,does_anybody,bali,0,0
2,alla_rancho,el_rancho_anonymous,0,0
3,chatterbox_carew,chatterbox_jerome,0,0
4,kansas,roses,0,0
5,prelude,dakota,0,0
6,amothersprayer,myownsweet,3,3
7,motheranddad,nearyou,3,3
8,goodnight,whilewedream,4,4
9,rendezvous,idreamed,3,3
10,hessofine,mysweetlord,4,4
11,dirlada,loopdilove,6,6
12,pourtoi,feelings,2,2
13,greengrassgrows,superstring,5,5
14,gehtsparkasse,begood,5,5
15,heartbeat,getoveryou,14,14
16,blessees,janine,5,5
17,reich,niveau,12,12
