N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,1,1
1,alla_rancho,el_rancho_anonymous,1,1
2,chatterbox_carew,chatterbox_jerome,1,1
3,kansas,roses,1,1
4,prelude,dakota,1,1
5,amothersprayer,myownsweet,4,4
6,motheranddad,nearyou,4,4
7,goodnight,whilewedream,1,1
8,rendezvous,idreamed,4,4
9,mizpahshalom,shalom,1,1
10,daybyday,themetodayshow,6,6
11,keeponsinging,keeponsingingtwo,0,0
12,dirlada,loopdilove,3,3
13,greengrassgrows,superstring,8,8
14,gehtsparkasse,begood,8,8
15,heartbeat,getoveryou,2,2
16,gumtree,downunder,1,1
17,blessees,janine,8,8
18,reich,niveau,6,6
