N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt2,0,0
2,confessing,starlight,0,0
3,lady_love,word_warning,0,0
4,spider,desert_song,1,1
5,whisper_to_me,itallcomes,0,0
6,messiah,fence,0,0
7,shepherd,beginthebeguine,0,0
8,twilightwaltz,calledlove,1,1
9,motheranddad,nearyou,0,0
10,tonighthesailedagain,iloveyouyesido,0,0
11,mizpahshalom,shalom,0,0
12,daybyday,themetodayshow,0,0
13,dirlada,loopdilove,1,1
14,letitend,howdeepisyourlove,1,1
15,uncantoagalicia,bisschenfrieden,0,0
16,es,hey,0,0
17,ithinkaboutyou,ithinkaboutyoutwo,0,0
18,greengrassgrows,superstring,0,0
19,whereareyounow,whereareyou,0,0
20,gehtsparkasse,begood,0,0
21,heartbeat,getoveryou,0,0
22,blessees,janine,0,0
