N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,4,4
1,light_myLife,lady_divine_pt2,4,4
2,whisper,wishing_song,0,0
3,spider,desert_song,1,1
4,chatterbox_carew,chatterbox_jerome,0,0
5,kansas,roses,2,2
6,thehappywhistler,sanfranciscobrewingad,0,0
7,muehlebachbeersmith,timeformuehlebach,1,1
8,goodnight,whilewedream,0,0
9,hessofine,mysweetlord,0,0
10,dirlada,loopdilove,4,4
11,uncantoagalicia,bisschenfrieden,1,1
12,lifeisarock,menusong,4,4
13,es,hey,1,1
14,whereareyounow,whereareyou,1,1
15,heartbeat,getoveryou,4,4
16,blessees,janine,1,1
17,reich,niveau,0,0
