Clust_Div,Cnt,(%)
2,40,76.92
3,35,67.31
4,24,46.15
5,25,48.08
6,20,38.46
7,19,36.54
8,17,32.69
9,18,34.62
10,12,23.08
11,10,19.23
12,9,17.31
13,10,19.23
14,7,13.46
15,7,13.46
16,9,17.31
17,9,17.31
18,8,15.38
19,8,15.38
20,7,13.46
21,5,9.62
22,6,11.54
23,11,21.15
24,10,19.23
