Clust_Div,Cnt,(%)
2,30,57.69
3,19,36.54
4,20,38.46
5,16,30.77
6,9,17.31
7,10,19.23
8,9,17.31
9,9,17.31
10,5,9.62
11,8,15.38
12,6,11.54
13,7,13.46
14,9,17.31
15,6,11.54
16,6,11.54
17,5,9.62
18,5,9.62
19,3,5.77
20,4,7.69
21,4,7.69
22,5,9.62
23,5,9.62
24,5,9.62
