Clust_Div,Cnt,(%)
2,26,50.0
3,16,30.77
4,12,23.08
5,11,21.15
6,15,28.85
7,10,19.23
8,11,21.15
9,8,15.38
10,9,17.31
11,9,17.31
12,10,19.23
13,8,15.38
14,11,21.15
15,9,17.31
16,8,15.38
17,7,13.46
18,6,11.54
19,7,13.46
20,8,15.38
21,8,15.38
22,8,15.38
23,8,15.38
24,7,13.46
