Clust_Div,Cnt,(%)
2,38,73.08
3,28,53.85
4,24,46.15
5,14,26.92
6,10,19.23
7,17,32.69
8,14,26.92
9,12,23.08
10,12,23.08
11,8,15.38
12,9,17.31
13,9,17.31
14,8,15.38
15,8,15.38
16,10,19.23
17,9,17.31
18,10,19.23
19,7,13.46
20,5,9.62
21,8,15.38
22,5,9.62
23,7,13.46
24,8,15.38
