N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,4,4
1,kansas,roses,11,11
2,amothersprayer,myownsweet,1,1
3,motheranddad,nearyou,1,1
4,goodnight,whilewedream,13,13
5,rendezvous,idreamed,1,1
6,keeponsinging,keeponsingingtwo,12,12
7,dirlada,loopdilove,9,9
8,pourtoi,feelings,15,15
9,lifeisarock,menusong,14,14
10,ithinkaboutyou,ithinkaboutyoutwo,2,2
11,greengrassgrows,superstring,17,17
12,heartbeat,getoveryou,3,3
13,gumtree,downunder,15,15
14,blessees,janine,8,8
15,reich,niveau,12,12
