N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,7,7
1,alla_rancho,el_rancho_anonymous,7,7
2,chatterbox_carew,chatterbox_jerome,7,7
3,kansas,roses,7,7
4,whisper_to_me,itallcomes,9,9
5,prelude,dakota,7,7
6,amothersprayer,myownsweet,1,1
7,motheranddad,nearyou,1,1
8,goodnight,whilewedream,11,11
9,rendezvous,idreamed,1,1
10,hessofine,mysweetlord,11,11
11,keeponsinging,keeponsingingtwo,9,9
12,dirlada,loopdilove,6,6
13,lifeisarock,menusong,9,9
14,greengrassgrows,superstring,3,3
15,heartbeat,getoveryou,8,8
16,blessees,janine,5,5
17,reich,niveau,9,9
