N,Song1,Song2,Algo,Embedding,Perc
0,hessofine,mysweetlord,KMean,300,14.49
1,hessofine,mysweetlord,KMean,100,68.12
2,hessofine,mysweetlord,KMean,200,15.94
3,hessofine,mysweetlord,KMean,50,18.84
4,hessofine,mysweetlord,KMean,150,0.0
