N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,4,4
1,alla_rancho,el_rancho_anonymous,2,2
2,chatterbox_carew,chatterbox_jerome,2,2
3,whisper_to_me,itallcomes,1,1
4,amothersprayer,myownsweet,3,3
5,motheranddad,nearyou,3,3
6,goodnight,whilewedream,2,2
7,rendezvous,idreamed,3,3
8,daybyday,themetodayshow,6,6
9,keeponsinging,keeponsingingtwo,7,7
10,dirlada,loopdilove,4,4
11,lifeisarock,menusong,7,7
12,greengrassgrows,superstring,0,0
13,gehtsparkasse,begood,0,0
14,heartbeat,getoveryou,0,0
15,gumtree,downunder,5,5
16,blessees,janine,0,0
17,reich,niveau,1,1
