N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,4,4
1,light_myLife,lady_divine_pt3,4,4
2,whisper,wishing_song,4,4
3,old_eli,someday_prince,4,4
4,chatterbox_carew,chatterbox_jerome,4,4
5,kansas,roses,4,4
6,kalamazoo_arnstein,kalamazoo_warren,4,4
7,prelude,dakota,4,4
8,vagyok,perhaps,4,4
9,messiah,fence,4,4
10,amothersprayer,myownsweet,4,4
11,sadness,youdbesonice,4,4
12,twilightwaltz,calledlove,4,4
13,motheranddad,nearyou,4,4
14,thehappywhistler,sanfranciscobrewingad,4,4
15,mygodandi,mygodanditwo,4,4
16,goodnight,whilewedream,4,4
17,evangelimann,mitternachtstango,4,4
18,mojoworkout,gotmymojoworking,4,4
19,sognonostalgico,girlinthedark,4,4
20,hessofine,mysweetlord,4,4
21,keeponsinging,keeponsingingtwo,4,4
22,dirlada,loopdilove,4,4
23,letitend,howdeepisyourlove,4,4
24,pourtoi,feelings,4,4
25,uncantoagalicia,bisschenfrieden,4,4
26,es,hey,4,4
27,tillyou,phantomoftheopera,4,4
28,whereareyounow,whereareyou,1,1
29,gehtsparkasse,begood,6,6
30,heartbeat,getoveryou,6,6
31,blessees,janine,6,6
32,reich,niveau,4,4
