N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,1,1
1,light_myLife,lady_divine_pt3,1,1
2,confessing,starlight,1,1
3,o_gladsome,o_light,1,1
4,lady_love,word_warning,1,1
5,whisper,wishing_song,1,1
6,does_anybody,bali,1,1
7,spider,desert_song,1,1
8,old_eli,someday_prince,1,1
9,alla_rancho,el_rancho_anonymous,1,1
10,chatterbox_carew,chatterbox_jerome,1,1
11,kansas,roses,1,1
12,kalamazoo_arnstein,kalamazoo_warren,1,1
13,prelude,dakota,1,1
14,vagyok,perhaps,1,1
15,messiah,fence,1,1
16,shepherd,beginthebeguine,1,1
17,amothersprayer,myownsweet,1,1
18,sadness,youdbesonice,1,1
19,twilightwaltz,calledlove,1,1
20,motheranddad,nearyou,1,1
21,thehappywhistler,sanfranciscobrewingad,1,1
22,muehlebachbeersmith,timeformuehlebach,1,1
23,mygodandi,mygodanditwo,1,1
24,goodnight,whilewedream,1,1
25,rendezvous,idreamed,1,1
26,mizpahshalom,shalom,1,1
27,evangelimann,mitternachtstango,1,1
28,mojoworkout,gotmymojoworking,1,1
29,sognonostalgico,girlinthedark,1,1
30,hessofine,mysweetlord,1,1
31,keeponsinging,keeponsingingtwo,1,1
32,dirlada,loopdilove,1,1
33,letitend,howdeepisyourlove,1,1
34,pourtoi,feelings,1,1
35,uncantoagalicia,bisschenfrieden,1,1
36,lifeisarock,menusong,0,0
37,es,hey,1,1
38,tillyou,phantomoftheopera,1,1
39,ithinkaboutyou,ithinkaboutyoutwo,1,1
40,greengrassgrows,superstring,0,0
41,whereareyounow,whereareyou,1,1
42,gehtsparkasse,begood,0,0
43,heartbeat,getoveryou,0,0
44,gumtree,downunder,1,1
45,blessees,janine,0,0
46,reich,niveau,1,1
