N,Song1,Song2,Algo,Embedding,Perc
0,greengrassgrows,superstring,MiniBatch1000,300,66.67
1,greengrassgrows,superstring,MiniBatch1000,100,42.03
2,greengrassgrows,superstring,MiniBatch1000,200,65.22
3,greengrassgrows,superstring,MiniBatch1000,50,98.55
4,greengrassgrows,superstring,MiniBatch1000,150,98.55
