N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,6,6
1,does_anybody,bali,3,3
2,alla_rancho,el_rancho_anonymous,3,3
3,chatterbox_carew,chatterbox_jerome,3,3
4,kansas,roses,3,3
5,prelude,dakota,3,3
6,amothersprayer,myownsweet,5,5
7,motheranddad,nearyou,5,5
8,goodnight,whilewedream,1,1
9,rendezvous,idreamed,5,5
10,mizpahshalom,shalom,3,3
11,hessofine,mysweetlord,1,1
12,keeponsinging,keeponsingingtwo,8,8
13,dirlada,loopdilove,6,6
14,greengrassgrows,superstring,7,7
15,gehtsparkasse,begood,12,12
16,heartbeat,getoveryou,7,7
17,blessees,janine,12,12
18,reich,niveau,8,8
