N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,6,6
1,does_anybody,bali,1,1
2,alla_rancho,el_rancho_anonymous,1,1
3,chatterbox_carew,chatterbox_jerome,1,1
4,kansas,roses,1,1
5,prelude,dakota,1,1
6,amothersprayer,myownsweet,5,5
7,motheranddad,nearyou,5,5
8,goodnight,whilewedream,0,0
9,rendezvous,idreamed,5,5
10,mizpahshalom,shalom,1,1
11,hessofine,mysweetlord,0,0
12,keeponsinging,keeponsingingtwo,8,8
13,dirlada,loopdilove,6,6
14,greengrassgrows,superstring,3,3
15,gehtsparkasse,begood,12,12
16,heartbeat,getoveryou,3,3
17,blessees,janine,12,12
18,reich,niveau,8,8
