N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,3,3
1,spider,desert_song,1,1
2,old_eli,someday_prince,1,1
3,alla_rancho,el_rancho_anonymous,1,1
4,kansas,roses,1,1
5,whisper_to_me,itallcomes,3,3
6,prelude,dakota,0,0
7,messiah,fence,1,1
8,sadness,youdbesonice,1,1
9,motheranddad,nearyou,1,1
10,mygodandi,mygodanditwo,1,1
11,mizpahshalom,shalom,1,1
12,mojoworkout,gotmymojoworking,1,1
13,sognonostalgico,girlinthedark,1,1
14,dirlada,loopdilove,0,0
15,letitend,howdeepisyourlove,1,1
16,pourtoi,feelings,0,0
17,lifeisarock,menusong,3,3
18,tillyou,phantomoftheopera,1,1
19,ithinkaboutyou,ithinkaboutyoutwo,0,0
20,greengrassgrows,superstring,3,3
21,whereareyounow,whereareyou,0,0
22,gehtsparkasse,begood,3,3
23,heartbeat,getoveryou,1,1
24,blessees,janine,3,3
