N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,0,0
1,confessing,starlight,0,0
2,lady_love,word_warning,1,1
3,spider,desert_song,0,0
4,old_eli,someday_prince,0,0
5,alla_rancho,el_rancho_anonymous,0,0
6,chatterbox_carew,chatterbox_jerome,0,0
7,kansas,roses,0,0
8,kalamazoo_arnstein,kalamazoo_warren,0,0
9,prelude,dakota,1,1
10,vagyok,perhaps,1,1
11,shepherd,beginthebeguine,1,1
12,sadness,youdbesonice,0,0
13,motheranddad,nearyou,0,0
14,tonighthesailedagain,iloveyouyesido,2,2
15,thehappywhistler,sanfranciscobrewingad,1,1
16,mygodandi,mygodanditwo,0,0
17,evangelimann,mitternachtstango,1,1
18,mojoworkout,gotmymojoworking,0,0
19,sognonostalgico,girlinthedark,0,0
20,hessofine,mysweetlord,1,1
21,keeponsinging,keeponsingingtwo,1,1
22,dirlada,loopdilove,1,1
23,letitend,howdeepisyourlove,1,1
24,pourtoi,feelings,1,1
25,uncantoagalicia,bisschenfrieden,1,1
26,es,hey,1,1
27,ithinkaboutyou,ithinkaboutyoutwo,1,1
28,whereareyounow,whereareyou,1,1
29,gehtsparkasse,begood,0,0
30,heartbeat,getoveryou,0,0
31,blessees,janine,1,1
