N,Song1,Song2,Cluster_1,Cluster_2
0,lady_love,word_warning,1,1
1,does_anybody,bali,3,3
2,whisper_to_me,itallcomes,11,11
3,prelude,dakota,2,2
4,amothersprayer,myownsweet,4,4
5,motheranddad,nearyou,0,0
6,evangelimann,mitternachtstango,11,11
7,jeanniemichele,themeatimetolove,10,10
8,daybyday,themetodayshow,2,2
9,ithinkaboutyou,ithinkaboutyoutwo,10,10
10,greengrassgrows,superstring,10,10
11,gehtsparkasse,begood,5,5
12,heartbeat,getoveryou,5,5
13,blessees,janine,5,5
14,reich,niveau,3,3
