N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,1,1
1,does_anybody,bali,2,2
2,alla_rancho,el_rancho_anonymous,2,2
3,chatterbox_carew,chatterbox_jerome,2,2
4,kansas,roses,2,2
5,whisper_to_me,itallcomes,4,4
6,prelude,dakota,2,2
7,amothersprayer,myownsweet,3,3
8,motheranddad,nearyou,3,3
9,goodnight,whilewedream,0,0
10,rendezvous,idreamed,3,3
11,mizpahshalom,shalom,2,2
12,evangelimann,mitternachtstango,4,4
13,hessofine,mysweetlord,0,0
14,keeponsinging,keeponsingingtwo,4,4
15,dirlada,loopdilove,1,1
16,pourtoi,feelings,4,4
17,lifeisarock,menusong,3,3
18,greengrassgrows,superstring,7,7
19,gehtsparkasse,begood,7,7
20,heartbeat,getoveryou,5,5
21,blessees,janine,7,7
22,reich,niveau,4,4
