N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,5,5
1,light_myLife,lady_divine_pt2,5,5
2,whisper,wishing_song,4,4
3,spider,desert_song,1,1
4,chatterbox_carew,chatterbox_jerome,4,4
5,kansas,roses,0,0
6,thehappywhistler,sanfranciscobrewingad,4,4
7,goodnight,whilewedream,4,4
8,hessofine,mysweetlord,4,4
9,dirlada,loopdilove,5,5
10,uncantoagalicia,bisschenfrieden,1,1
11,lifeisarock,menusong,2,2
12,gehtsparkasse,begood,2,2
13,heartbeat,getoveryou,5,5
14,reich,niveau,4,4
