N,Song1,Song2,Algo,Embedding,Perc
0,jeanniemichele,themeatimetolove,Spectral,300,7.25
1,jeanniemichele,themeatimetolove,Spectral,100,2.9
2,jeanniemichele,themeatimetolove,Spectral,200,1.45
3,jeanniemichele,themeatimetolove,Spectral,50,2.9
4,jeanniemichele,themeatimetolove,Spectral,150,10.14
