N,Song1,Song2,Algo,Embedding,Perc
0,kansas,roses,Spectral,300,17.39
1,kansas,roses,Spectral,100,26.09
2,kansas,roses,Spectral,200,18.84
3,kansas,roses,Spectral,50,13.04
4,kansas,roses,Spectral,150,2.9
