N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt2,0,0
2,light_myLife,lady_divine_pt3,0,0
3,o_gladsome,o_light,0,0
4,lady_love,word_warning,0,0
5,does_anybody,bali,0,0
6,spider,desert_song,0,0
7,old_eli,someday_prince,0,0
8,chatterbox_carew,chatterbox_jerome,1,1
9,kansas,roses,1,1
10,kalamazoo_arnstein,kalamazoo_warren,1,1
11,vagyok,perhaps,1,1
12,messiah,fence,0,0
13,sadness,youdbesonice,0,0
14,sognonostalgico,girlinthedark,0,0
15,jeanniemichele,themeatimetolove,0,0
16,daybyday,themetodayshow,0,0
17,dirlada,loopdilove,0,0
18,uncantoagalicia,bisschenfrieden,0,0
19,es,hey,1,1
20,tillyou,phantomoftheopera,0,0
21,gehtsparkasse,begood,1,1
22,heartbeat,getoveryou,1,1
23,gumtree,downunder,1,1
24,reich,niveau,1,1
